Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
Maruti Alto LXi BSIII,Bangalore,2011,64000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5,,2.39
Chevrolet Beat Diesel PS,Bangalore,2012,65000,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5,,2.4
Maruti Alto K10 2010-2014 VXI,Hyderabad,2012,46004,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5,,2.4
Ford Figo Petrol ZXI,Mumbai,2010,69009,Petrol,Manual,Second,15.6 kmpl,1196 CC,70 bhp,5,,2.4
Nissan Micra Diesel XV Premium,Kolkata,2012,32048,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5,,2.4
Mahindra Verito 1.5 D6 BSIV,Chennai,2011,110000,Diesel,Manual,Second,21.0 kmpl,1461 CC,64.1 bhp,5,,2.4
Ford Figo Petrol Titanium,Delhi,2011,65000,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5,,2.4
Ford Fiesta 1.4 SXi TDCi ABS,Hyderabad,2009,55000,Diesel,Manual,Second,17.8 kmpl,1399 CC,68 bhp,5,,2.4
Maruti Swift Dzire VXi,Pune,2008,56230,Petrol,Manual,Second,17.5 kmpl,1298 CC,85.8 bhp,5,,2.4
Volkswagen Polo Petrol Comfortline 1.2L,Delhi,2010,65000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5,,2.4
Renault Scala RxL,Kolkata,2013,45000,Petrol,Manual,First,16.95 kmpl,1498 CC,97.6 bhp,5,,2.4
Ford Figo Petrol Titanium,Jaipur,2010,42000,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5,,2.4
Ford Figo Diesel EXI,Hyderabad,2010,108882,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5,,2.4
Maruti Swift VXI BSIII,Chennai,2008,86700,Petrol,Manual,Second,16.1 kmpl,1298 CC,88.2 bhp,5,,2.4
Maruti SX4 ZXI MT BSIV,Mumbai,2010,72000,Petrol,Manual,First,15.5 kmpl,1586 CC,103.3 bhp,5,,2.4
Ford Fiesta 1.4 SXi TDCi,Hyderabad,2008,83000,Diesel,Manual,Second,17.8 kmpl,1399 CC,null bhp,5,,2.4
Chevrolet Beat Diesel LT,Kochi,2012,42706,Diesel,Manual,First,25.44 kmpl,936 CC,56.3 bhp,5,,2.4
Hyundai i20 1.4 CRDi Magna,Kolkata,2011,38277,Diesel,Manual,First,21.9 kmpl,1396 CC,90 bhp,5,,2.4
Maruti Alto K10 2010-2014 VXI,Pune,2012,12600,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5,,2.4
Tata Indigo CS eVX,Pune,2016,52000,Diesel,Manual,Second,25.0 kmpl,1396 CC,69.01 bhp,5,,2.4
Maruti Alto LXi BSII,Hyderabad,2011,28619,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5,,2.4
Hyundai Santro Xing XL AT eRLX Euro II,Hyderabad,2007,76000,Petrol,Automatic,First,17.0 kmpl,1086 CC,null bhp,5,,2.4
Hyundai Santro Xing XL AT eRLX Euro III,Hyderabad,2007,71000,Petrol,Automatic,First,17.0 kmpl,1086 CC,null bhp,5,,2.4
Hyundai i10 Magna 1.2,Delhi,2010,62000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,2.4
Honda City ZX VTEC,Jaipur,2006,100173,Petrol,Manual,Second,16.9 kmpl,1497 CC,100 bhp,5,,2.4
Hyundai i20 Magna,Chennai,2009,69000,Petrol,Manual,Second,18.5 kmpl,1197 CC,80 bhp,5,,2.4
Ford Figo Diesel EXI,Chennai,2011,76000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,,2.4
Maruti Omni 5 Str STD,Coimbatore,2010,93850,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5,,2.41
Maruti Alto 800 LXI,Jaipur,2013,86000,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5,,2.41
Ford Fiesta EXi 1.4 TDCi Ltd,Hyderabad,2010,84000,Diesel,Manual,Second,17.8 kmpl,1399 CC,68 bhp,5,,2.41
Maruti Swift VXI BSIII,Ahmedabad,2008,52000,Petrol,Manual,First,16.1 kmpl,1298 CC,88.2 bhp,5,,2.41
Maruti Alto 800 VXI,Jaipur,2014,45700,Petrol,Manual,Second,22.74 kmpl,796 CC,47.3 bhp,5,,2.42
Chevrolet Aveo U-VA 1.2 LT,Coimbatore,2010,64236,Petrol,Manual,First,14.7 kmpl,1150 CC,76 bhp,5,,2.44
Toyota Etios Liva G,Mumbai,2012,29605,Petrol,Manual,First,18.3 kmpl,1197 CC,null bhp,5,,2.44
Maruti Alto 800 VXI,Kolkata,2016,24300,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5,,2.44
Volkswagen Polo Petrol Highline 1.2L,Pune,2010,79000,Petrol,Manual,Third,16.47 kmpl,1198 CC,73.9 bhp,5,,2.44
Maruti Wagon R LXI BS IV,Pune,2011,43874,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,2.45
Maruti Wagon R VXI BS IV,Bangalore,2010,81245,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,2.45
Toyota Corolla H4,Bangalore,2005,67000,Petrol,Automatic,Second,11.3 kmpl,1794 CC,125 bhp,5,,2.45
Hyundai Santro Xing GL,Hyderabad,2010,58163,Petrol,Manual,First,0.0 kmpl,1086 CC,62 bhp,5,,2.45
Maruti A-Star Vxi,Hyderabad,2009,66149,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5,,2.45
Chevrolet Beat LT,Mumbai,2014,54890,Petrol,Manual,Second,17.8 kmpl,1199 CC,76.8 bhp,5,,2.45
Hyundai i10 Magna,Kolkata,2012,58235,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,2.45
Maruti Swift Dzire ZXi,Mumbai,2009,60000,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5,,2.45
Maruti Alto 800 LXI,Chennai,2015,63714,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5,,2.45
Maruti Swift Dzire 1.2 Vxi BSIV,Delhi,2010,72425,Petrol,Manual,Second,17.5 kmpl,1197 CC,85.8 bhp,5,,2.45
Maruti SX4 Vxi BSIV,Mumbai,2010,47500,Petrol,Manual,First,15.5 kmpl,1586 CC,103.3 bhp,5,,2.45
Maruti Alto 800 2016-2019 LXI Optional,Chennai,2015,63714,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5,,2.45
Maruti Wagon R LXI,Mumbai,2010,12000,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,5.04 Lakh,2.45
Hyundai Accent GLE,Delhi,2012,56000,Petrol,Manual,First,13.2 kmpl,1495 CC,94 bhp,5,,2.45
Tata Indica V2 2001-2011 eLS,Hyderabad,2015,80500,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5,,2.45
Maruti Wagon R LXI BSII,Delhi,2012,52000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,2.45
Skoda Laura L and K AT,Hyderabad,2007,91000,Diesel,Automatic,Second,15.6 kmpl,1896 CC,106 bhp,5,,2.45
Maruti SX4 Vxi BSIV,Mumbai,2010,66000,Petrol,Manual,Second,16.51 kmpl,1586 CC,103.2 bhp,5,,2.46
Chevrolet Beat Diesel,Kochi,2014,52398,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5,,2.47
Maruti Alto LXi BSIII,Kochi,2012,14814,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5,,2.47
Chevrolet Sail LT ABS,Kolkata,2014,45000,Diesel,Manual,First,22.1 kmpl,1248 CC,74 bhp,5,,2.48
Maruti Wagon R LXI BS IV,Kolkata,2014,40000,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5,,2.49
Volkswagen Polo Diesel Trendline 1.2L,Kolkata,2011,66035,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,2.49
Hyundai i10 Asta,Kolkata,2011,43000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,2.49
Maruti Swift Ldi BSIV,Pune,2009,140000,Diesel,Manual,Second,17.8 kmpl,1248 CC,75 bhp,5,,2.49
Maruti Alto 800 LXI,Hyderabad,2013,30852,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5,,2.49
Volkswagen Polo Diesel Trendline 1.2L,Kolkata,2011,55476,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,2.49
Volkswagen Polo Diesel Trendline 1.2L,Kolkata,2011,66000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,2.49
Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5,,2.5
Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,20.63 kmpl,1198 CC,67.06 bhp,5,,2.5
Ford Figo Diesel EXI,Kolkata,2012,41284,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5,,2.5
Maruti Swift VDI BSIV,Kolkata,2011,60020,Diesel,Manual,First,17.8 kmpl,1248 CC,null bhp,5,,2.5
Toyota Corolla H4,Chennai,2004,105000,Petrol,Automatic,Second,11.3 kmpl,1794 CC,125 bhp,5,,2.5
Hyundai Verna Transform VTVT,Pune,2010,95000,Petrol,Manual,First,16.2 kmpl,1599 CC,103.2 bhp,5,,2.5
Tata Indica Vista Quadrajet LS,Hyderabad,2014,67000,Diesel,Manual,First,22.3 kmpl,1248 CC,74 bhp,5,,2.5
Ford Fiesta 1.6 SXI ABS Duratec,Chennai,2009,80524,Petrol,Manual,Second,15.3 kmpl,1596 CC,null bhp,5,,2.5
Ford Figo Titanium Diesel,Kolkata,2015,72035,Diesel,Manual,First,25.5 kmpl,1498 CC,99 bhp,5,7.65 Lakh,2.5
Fiat Linea Emotion,Jaipur,2011,48500,Petrol,Manual,First,16.0 kmpl,1368 CC,90 bhp,5,,2.5
Tata Indigo eCS eLX BS IV,Delhi,2015,150000,Diesel,Manual,First,25.0 kmpl,1396 CC,69.01 bhp,5,,2.5
Hyundai Accent GLE,Ahmedabad,2010,58000,Petrol,Manual,Second,13.2 kmpl,1495 CC,94 bhp,5,,2.5
Maruti Swift VDI,Kolkata,2012,82000,Diesel,Manual,Second,22.9 kmpl,1248 CC,74 bhp,5,,2.5
Chevrolet Beat LS,Kolkata,2015,120000,Petrol,Manual,First,18.6 kmpl,1199 CC,76.8 bhp,5,,2.5
Hyundai EON Era,Jaipur,2014,18000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,2.5
Honda Civic 2006-2010 1.8 V MT,Delhi,2008,72000,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5,,2.5
Chevrolet Beat LS,Pune,2012,65000,Petrol,Manual,First,18.6 kmpl,1199 CC,79.4 bhp,5,,2.5
Fiat Linea Classic Plus 1.3 Multijet,Jaipur,2013,86000,Diesel,Manual,Second,19.5 kmpl,1248 CC,75 bhp,5,9.5 Lakh,2.5
Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,96578,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,14.07 Lakh,2.5
Tata Indica Vista Quadrajet VX,Pune,2012,65000,Diesel,Manual,First,22.3 kmpl,1248 CC,74 bhp,5,,2.5
Maruti Swift Lxi BSIII,Pune,2010,54898,Petrol,Manual,Third,16.1 kmpl,1298 CC,88.2 bhp,5,,2.5
Fiat Linea Emotion Pack (Diesel),Chennai,2010,160000,Diesel,Manual,Second,19.0 kmpl,1248 CC,93 bhp,5,,2.5
Honda Brio S MT,Mumbai,2012,70000,Petrol,Manual,Second,19.4 kmpl,1198 CC,86.8 bhp,5,,2.5
Chevrolet Beat LT,Pune,2011,65000,Petrol,Manual,Second,18.6 kmpl,1199 CC,79.4 bhp,5,,2.5
Hyundai i10 Sportz,Bangalore,2008,84000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,2.5
Maruti Ritz VDi,Kolkata,2011,77400,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5,,2.5
Maruti Alto 800 LXI,Hyderabad,2015,96000,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5,,2.5
Maruti SX4 VDI,Delhi,2011,75000,Diesel,Manual,First,21.5 kmpl,1248 CC,88.8 bhp,5,,2.5
Hyundai EON D Lite Plus,Hyderabad,2013,84600,Petrol,Manual,Second,21.1 kmpl,814 CC,55.2 bhp,5,,2.5
Honda Civic 2006-2010 1.8 (E) MT,Hyderabad,2007,77000,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5,,2.5
Tata Indica Vista Quadrajet LS,Pune,2014,180000,Diesel,Manual,First,22.3 kmpl,1248 CC,74 bhp,5,,2.5
Ford Figo Diesel LXI,Chennai,2010,39000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,,2.5
Hyundai EON D Lite Plus Option,Kolkata,2017,60000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,2.5
Tata Venture EX,Pune,2011,51482,Diesel,Manual,First,15.42 kmpl,1405 CC,70 bhp,8,,2.5
Ford Figo Diesel Celebration Edition,Jaipur,2013,51000,Diesel,Manual,First,20.0 kmpl,1399 CC,68.1 bhp,5,,2.5
Hyundai EON Era Plus,Jaipur,2015,91000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,2.5
Honda City 1.5 E MT,Kolkata,2010,54801,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,,2.5
Nissan Micra XV D,Chennai,2012,93450,Diesel,Manual,Second,23.19 kmpl,1461 CC,63.12 bhp,5,9.48 Lakh,2.5
Skoda Octavia L and K 1.9 TDI MT,Hyderabad,2006,121000,Diesel,Manual,Second,16.4 kmpl,1896 CC,90 bhp,5,,2.5
Mahindra Bolero SLX 2WD,Bangalore,2006,193000,Diesel,Manual,Third,13.6 kmpl,2523 CC,63 bhp,7,,2.5
Hyundai Xcent 1.2 Kappa SX Option,Bangalore,2016,50000,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5,,2.5
Maruti Estilo LXI,Kolkata,2010,40000,Petrol,Manual,Second,19.5 kmpl,1061 CC,null bhp,,,2.5
Maruti Ritz VXi,Kolkata,2011,150000,Petrol,Manual,First,18.5 kmpl,1197 CC,85.80 bhp,5,,2.5
Tata Indica Vista TDI LX,Jaipur,2012,90000,Diesel,Manual,First,19.4 kmpl,1405 CC,70 bhp,5,,2.5
Ford Figo Diesel Titanium,Chennai,2011,169000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,,2.5
Maruti Wagon R LXI,Jaipur,2011,80000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,2.5
Maruti SX4 ZXI MT BSIV,Pune,2008,85000,Petrol,Manual,First,16.51 kmpl,1586 CC,103.2 bhp,5,,2.5
Hyundai i20 1.2 Magna,Kolkata,2011,36000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5,,2.5
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2010,90110,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,2.5
Maruti Alto 800 LXI,Pune,2013,30000,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5,,2.5
Maruti Wagon R LXI BS IV,Delhi,2011,68000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,2.5
Hyundai EON Era Plus,Jaipur,2015,54680,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,2.5
Chevrolet Beat Diesel,Hyderabad,2012,72921,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5,,2.5
Hyundai i20 Magna,Mumbai,2010,58000,Petrol,Manual,Second,18.5 kmpl,1197 CC,80 bhp,5,,2.5
Hyundai EON Magna Plus,Chennai,2012,45000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,2.5
Maruti A-Star Vxi,Hyderabad,2010,68375,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5,,2.5
Hyundai i10 Magna 1.2,Delhi,2012,62000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,2.5
Chevrolet Beat Diesel LT,Chennai,2012,81000,Diesel,Manual,First,25.44 kmpl,936 CC,56.3 bhp,5,,2.5
Maruti Swift Dzire Tour LDI,Kolkata,2013,160000,Diesel,Manual,Second,23.4 kmpl,1248 CC,74 bhp,5,,2.5
Hyundai i10 Sportz 1.2 AT,Mumbai,2010,57000,Petrol,Automatic,Second,16.95 kmpl,1197 CC,78.9 bhp,5,,2.5
Maruti A-Star AT VXI,Mumbai,2012,32910,Petrol,Automatic,First,16.98 kmpl,998 CC,66.1 bhp,5,,2.5
Honda Brio EX MT,Kolkata,2014,50000,Petrol,Manual,Second,19.4 kmpl,1198 CC,86.8 bhp,5,,2.5
Chevrolet Beat Diesel,Hyderabad,2011,47000,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5,,2.5
Skoda Fabia 1.2 TDI Ambition,Kolkata,2012,98000,Diesel,Manual,First,20.86 kmpl,1199 CC,73.9 bhp,5,,2.51
Ford Figo Diesel EXI,Jaipur,2012,140000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,,2.51
Volkswagen Polo Petrol Comfortline 1.2L,Kolkata,2011,32000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5,,2.55
Chevrolet Beat LS,Kochi,2012,32717,Petrol,Manual,First,18.6 kmpl,1199 CC,79.4 bhp,5,,2.55
Chevrolet Beat LT,Pune,2014,8700,Petrol,Manual,First,18.6 kmpl,1199 CC,76.8 bhp,5,,2.55
Volkswagen Polo 1.2 MPI Highline,Mumbai,2011,46759,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5,,2.55
Ford Figo Diesel EXI,Delhi,2014,45001,Diesel,Manual,Second,20.0 kmpl,1399 CC,68.05 bhp,5,,2.55
Hyundai EON D Lite Plus Option,Mumbai,2016,25350,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,2.55
Ford Figo Diesel EXI,Delhi,2013,54000,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5,,2.55
Renault KWID RXL,Jaipur,2016,26000,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,3.96 Lakh,2.55
Chevrolet Optra Magnum 2.0 LS BSIII,Coimbatore,2008,82160,Diesel,Manual,First,16.52 kmpl,1991 CC,123.7 bhp,5,,2.57
Tata Indigo LX,Coimbatore,2013,59138,Diesel,Manual,First,17.0 kmpl,1405 CC,70 bhp,5,,2.58
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2012,35175,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,2.59
Nissan Sunny 2011-2014 Diesel XV,Delhi,2012,70000,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,5,,2.59
Honda City 1.5 S MT,Kolkata,2010,38446,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,,2.59
Tata Manza Aura Quadrajet BS IV,Jaipur,2012,79000,Diesel,Manual,First,21.12 kmpl,1248 CC,88.8 bhp,5,,2.59
Hyundai Santro Xing GLS,Hyderabad,2011,60000,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5,,2.59
Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.53 Lakh,2.6
Ford Figo Diesel ZXI,Chennai,2010,120000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,,2.6
Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,143275,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,14.07 Lakh,2.6
Hyundai EON D Lite,Hyderabad,2014,20600,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,2.6
Maruti Wagon R VXI,Ahmedabad,2011,75000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,2.6
Maruti Alto LXi BSIII,Hyderabad,2012,67147,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5,,2.6
Hyundai i10 Magna,Jaipur,2010,66770,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,5,,2.6
Maruti Alto 800 VXI,Kolkata,2016,26000,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5,,2.6
Maruti A-Star Lxi,Hyderabad,2010,81448,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5,,2.6
Toyota Etios Liva GD,Pune,2012,225000,Diesel,Manual,Second,23.59 kmpl,1364 CC,null bhp,5,,2.6
Renault KWID RXT,Chennai,2016,45000,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,,2.6
Fiat Linea Emotion (Diesel),Kolkata,2010,145000,Diesel,Manual,First,20.4 kmpl,1248 CC,91.7 bhp,5,,2.6
Ford Figo Diesel ZXI,Chennai,2010,90000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,,2.6
Honda City 1.5 S MT,Delhi,2009,231673,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,,2.6
Honda Accord 2.4 AT,Mumbai,2008,125000,Petrol,Automatic,Third,11.7 kmpl,2354 CC,177.6 bhp,5,,2.6
Maruti Omni 8 Seater BSIV,Hyderabad,2013,34834,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5,,2.6
Maruti Wagon R LX BS IV,Pune,2011,71000,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5,,2.6
Hyundai i10 Magna AT,Mumbai,2009,21000,Petrol,Automatic,First,19.2 kmpl,1197 CC,80 bhp,5,,2.6
Hyundai EON Era Plus,Pune,2013,22000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,2.6
Honda Civic 2006-2010 1.8 S AT,Pune,2007,93000,Petrol,Automatic,Second,12.9 kmpl,1799 CC,130 bhp,5,,2.6
Fiat Punto EVO 1.2 Emotion,Hyderabad,2010,59270,Petrol,Manual,First,15.7 kmpl,1172 CC,67 bhp,5,,2.6
Maruti Eeco 5 STR With AC Plus HTR CNG,Delhi,2013,52000,CNG,Manual,Second,15.1 km/kg,1196 CC,73 bhp,5,,2.6
Hyundai Verna Transform VTVT,Hyderabad,2011,51500,Petrol,Manual,Second,16.2 kmpl,1599 CC,103.2 bhp,5,,2.6
Maruti Wagon R LXI,Delhi,2012,68347,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,2.6
Honda City 1.5 V MT,Delhi,2009,79782,Petrol,Manual,Second,17.0 kmpl,1497 CC,118 bhp,5,,2.6
Fiat Punto 1.3 Emotion,Pune,2011,45271,Diesel,Manual,First,20.3 kmpl,,,,,2.6
Toyota Corolla H4,Chennai,2005,83929,Petrol,Automatic,First,11.3 kmpl,1794 CC,125 bhp,5,,2.6
Hyundai EON Era Plus,Hyderabad,2012,60500,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,2.6
Tata Indica Vista Quadrajet VX,Chennai,2012,120000,Diesel,Manual,Second,22.3 kmpl,1248 CC,74 bhp,5,,2.6
Maruti Zen Estilo LXI BS IV,Hyderabad,2011,61111,Petrol,Manual,First,19.0 kmpl,998 CC,67.1 bhp,5,,2.6
Hyundai i20 Sportz Option,Delhi,2010,62489,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5,,2.6
Ford Fiesta 1.4 Duratec EXI Limited Edition,Chennai,2010,107000,Petrol,Manual,First,16.6 kmpl,1388 CC,68 bhp,5,,2.6
Hyundai Verna XXi ABS (Petrol),Bangalore,2008,38000,Petrol,Manual,Second,13.9 kmpl,1599 CC,103.2 bhp,5,,2.6
Nissan Micra Diesel XV,Kolkata,2011,39010,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5,,2.6
Hyundai EON Era,Pune,2015,28700,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,2.6
Mahindra Scorpio 2.6 SLX CRDe,Bangalore,2005,90000,Diesel,Manual,First,10.5 kmpl,2179 CC,120 bhp,8,,2.6
